1|4120
2|8378
3|709
4|8612
5|8928
6|955
7|4076
8|991
9|72
10|8184
11|12691
12|608
13|12352
14|8495
15|4055
16|821
17|12625
18|12379
19|981
20|4836
21|4723
22|12573
23|12871
24|8485
25|4919
26|8438
27|400
28|8830
29|8543
30|12444
31|8503
32|36
33|4337
34|8051
35|12407
36|655
37|8410
38|12379
39|12344
40|12693
41|286
42|12616
43|4035
44|12673
45|4907
46|4096
47|4550
48|12828
49|376
50|12869
51|335
52|947
53|12084
54|4986
55|12884
56|12240
57|8520
58|173
59|8527
60|12696
61|541
62|12470
63|8585
64|4116
65|8867
66|8747
67|12244
68|12946
69|8393
70|12395
71|8680
72|12210
73|643
74|8729
75|8447
76|8320
77|4081
78|4897
79|4287
80|4969
81|809
82|12491
83|638
84|4914
85|8189
86|300
87|4602
88|4013
89|4652
90|243
91|8792
92|12013
93|150
94|4994
95|265
96|4036
97|8394
98|4021
99|43
100|4404
101|8227
102|8541
103|4656
104|4284
105|12254
106|116
107|12343
108|4119
109|345
110|12018
111|839
112|44
113|8961
114|12662
115|8541
116|579
117|472
118|4855
119|113
120|12838
121|12836
122|8757
123|4948
124|8088
125|4305
126|592
127|690
128|941
129|8566
130|8180
131|4643
132|12580
133|968
134|4451
135|44
136|12858
137|12659
138|8246
139|12950
140|4495
141|12550
142|8290
143|12636
144|4872
145|12962
146|4967
147|12972
148|8095
149|579
150|12639
151|12489
152|12894
153|32754
154|315
155|8983
156|8373
157|4487
158|4766
159|8529
160|8531
161|4470
162|8164
163|4492
164|12671
165|4224
166|4569
167|12849
168|8773
169|4347
170|142
171|12568
172|8857
173|8657
174|4771
175|12069
176|1000
177|12558
178|4787
179|4947
180|4690
181|12941
182|12406
183|32398
184|8819
185|12656
186|92
187|12035
188|12640
189|8104
190|12887
191|980
192|4747
193|677
194|247
195|8730
196|699
197|30
198|976
199|4149
200|12719
201|12366
202|4993
203|12966
204|8832
205|4007
206|12884
207|8394
208|4110
209|12639
210|8735
211|4124
212|4783
213|8909
214|4872
215|4542
216|4733
217|4369
218|8955
219|4702
220|4174
221|12629
222|4941
223|4090
224|12604
225|32760
226|4209
227|4751
228|4391
229|4942
230|8714
231|8613
232|4375
233|8037
234|12271
235|8235
236|4151
237|261
238|860
239|8355
240|8024
241|8489
242|777
243|8924
244|8826
245|12568
246|4796
247|307
248|215
